rozetka_row_id;site_category_id;site_category_name;site_category_visible;site_parent_id;rozetka_parent_id;rozetka_category_name;rozetka_exclude;products_count
4392;4672833;;;;81499;"Аксесуари для радіокерованих моделей";0;0
5198;4672838;;;;4644128;"Підрульові шлейфи";0;0
4387;4672843;;;;4625959;"Аксесуари для м'ясорубок";0;0
4370;4672853;;;;4625959;"Аксесуари для блендерів та міксерів";0;0
4402;4672858;;;;4625959;"Аксесуари для електрогрилів";0;0
4385;4672863;;;;4625959;"Аксесуари для мікрохвильовок";0;0
4382;4672868;;;;4625959;"Аксесуари для кавоварок і кавових машин";0;0
4393;4672878;;;;4625959;"Аксесуари для соковичавниць";0;0
4407;4672883;;;;4625959;"Аксесуари до кулерів для води";0;0
4373;4672888;;;;4625959;"Аксесуари для вакуумних пакувальників";0;0
4410;4672893;;;;4625959;"Аксесуари до сушарок для овочів і фруктів";0;0
4400;4672898;;;;4625959;"Аксесуари для хлібопічок";0;0
4372;4672903;;;;4625959;"Аксесуари для бутербродниць та вафельниць";0;0
4397;4672908;;;;4625959;"Аксесуари для тостерів";0;0
4368;4672913;;;;4625959;"Аксесуари для аерогрилів та фритюрниць";0;0
5524;4672923;;;;4630454;"Паливна система";0;0
5529;4672928;;;;4672923;"Паливні баки";0;0
4867;4672933;;;;4672923;"Комплектуючі для паливних баків";0;0
5317;4672938;;;;4674250;"Ремкомплекти обмежувачів дверей";0;0
4389;4672943;;;;4631896;"Аксесуари для перевезення і зберігання мотоцикла";0;0
4558;4672948;;;;4642696;"Високовольтні дроти запалювання";0;0
4731;4672953;;;;4625959;"Запчастини для мультиварок і пароварок";0;0
4732;4672958;;;;4625959;"Запчастини для м'ясорубок";0;0
4728;4672963;;;;4625959;"Запчастини для кухонних комбайнів";0;0
4723;4672968;;;;4625959;"Запчастини для блендерів";0;0
4745;4672973;;;;4625959;"Запчастини для електрогрилів";0;0
4730;4672978;;;;4625959;"Запчастини для мікрохвильових печей";0;0
4727;4672983;;;;4625959;"Запчастини для кавоварок і кавових машин";0;0
4736;4672993;;;;4625959;"Запчастини для соковижималок";0;0
4744;4672998;;;;4625959;"Запчастини для чайників і термопотів";0;0
4755;4673003;;;;4625959;"Запчастини до сушарок для овочів і фруктів";0;0
4742;4673008;;;;4625959;"Запчастини для хлібопічок";0;0
4740;4673013;;;;4625959;"Запчастини для тостерів";0;0
4729;4673033;;;;4625959;"Запчастини для скиборізок";0;0
5110;4673078;;;;4672708;"Опорні колеса, стійки і комплектуючі для причепа";0;0
5689;4673083;;;;4672708;"Фурнітура для легкового причепа";0;0
4353;4673143;;;;3803589;"Автоматичні вимикачі";0;0
4388;4673148;;;;3803589;"Аксесуари для низьковольтного і щитового обладнання";0;0
5080;4673153;;;;3803589;"Низьковольтні перемикачі навантаження";0;0
5101;4673163;;;;3803589;"Обмежувачі імпульсних перенапруг";0;0
5231;4673168;;;;3803589;Запобіжники;0;0
5282;4673173;;;;3803589;Пускачі;0;0
5315;4673183;;;;3803589;Реле;0;0
5477;4673188;;;;3803589;"Таймери і реле часу";0;0
5768;4673198;;;;3803589;"Електровимірювальні прилади і реєстратори параметрів";0;0
4890;4673203;;;;3803589;Контактори;0;0
5594;4673208;;;;3803589;"Пристрої захисного відключення (ПЗВ)";0;0
4405;4673213;;;;4625959;"Аксесуари до апаратів газування, пивоварень";0;0
5549;4673218;;;;3933347;"Транспорт для всієї родини";0;0
4452;4673223;;;;4626629;"Барні шейкери";0;0
4451;4673228;;;;4626629;"Барні аксесуари";0;0
5104;4673233;;;;116671;"Одяг для фігурного катання";0;0
5688;4673238;;;;4630013;"Фурнітура для кейсів, реків, кофрів";0;0
5219;4673243;;;;4642712;"Пороги на авто";0;0
5256;4673253;;;;4660608;"Продовольчі набори без алкоголю";0;0
4675;4673263;;;;4630262;"Домашній мастер";0;0
4768;4673273;;;;80255;"Ігрові клавіатури";0;0
4770;4673278;;;;80255;"Ігрові миші";0;0
4750;4673288;;;;4625959;"Запчастини до кулерів для води";0;0
4590;4673298;;;;4672423;"Голографічні 3D проектори";0;0
5121;4673303;;;;4674328;"Зброя для страйкболу";0;0
4395;4673308;;;;4674328;"Аксесуари для страйкбольної зброї";0;0
5590;4673313;;;;4673263;"Послуги сантехніка";0;0
5591;4673318;;;;4673263;"Послуги електрика";0;0
5031;4673323;;;;4673263;"Чоловік на годину";0;0
5646;4673328;;;;83850;"Уцінені будівельні матеріали";0;0
5090;4673338;;;;4630262;"Обмін іграшок";0;0
5269;4673348;;;;4644752;"Промислові овочечистки та терки";0;0
4549;4673353;;;;2048492;"Все для нарощування вій";0;0
4548;4673358;;;;2048492;"Все для ламінування вій та брів";0;0
5778;4673363;;;;4639440;"Елементи бетонних сходів";0;0
4777;4673368;;;;4629728;"Інструмент для прочищення труб";0;0
5221;4673398;;;;4631949;Поролон;0;0
4951;4673403;;;;4628712;"Ліки від алергії";0;0
5242;4673408;;;;4628712;"Препарати для щитоподібної залози";0;0
5274;4673418;;;;4628712;"Противірусні препарати";0;0
4950;4673423;;;;4674196;"Ліки для кишечника";0;0
5238;4673428;;;;4674196;"Препарати для підшлункової залози";0;0
4429;4673443;;;;4628712;"Антисептичні засоби";0;0
5241;4673448;;;;4628712;"Препарати для стоматології";0;0
5236;4673458;;;;4674196;"Препарати для печінки";0;0
4496;4673463;;;;4628635;Вакцини;0;0
4773;4673473;;;;4628635;"Імуностимулюючі препарати";0;0
5243;4673478;;;;4628663;"Препарати від шкідливих звичок";0;0
5592;4673483;;;;4628663;Заспокійливе;0;0
4427;4673488;;;;4628663;Антидепресанти;0;0
5421;4673493;;;;4628663;Снодійне;0;0
4955;4673498;;;;4628663;"Ліки при хворобі Паркінсона";0;0
5086;4673503;;;;4628663;"Ноотропні препарати";0;0
4954;4673508;;;;4628663;"Ліки від епілепсії";0;0
5075;4673513;;;;4628663;Нейролептики;0;0
4952;4673518;;;;4628649;"Ліки від кашлю";0;0
5439;4673523;;;;4628649;"Засоби від нежитю";0;0
4693;4673528;;;;4628649;Жарознижуючі;0;0
4948;4673533;;;;4628649;"Ліки для горла";0;0
5379;4673538;;;;4628656;"Сексуальне здоров'я чоловіка";0;0
4584;4673563;;;;4628656;"Гінекологічні препарати";0;0
5277;4673603;;;;2048497;"Професійна косметика для волосся";0;0
5249;4673611;;;;437989;"Принтери для нігтів";0;0
5723;4673614;;;;80263;"Чохли для телефонів з принтом на замовлення";0;0
5413;4673617;;;;80706;"Змішувачі для біде";0;0
5414;4673620;;;;80706;"Змішувачі для ванни";0;0
5415;4673623;;;;80706;"Змішувачі для душу";0;0
5416;4673626;;;;80706;"Змішувачі для раковини";0;0
5050;4673629;;;;80706;"Набори змішувачів";0;0
5417;4673632;;;;80706;"Змішувачі прихованого монтажу";0;0
5013;4673635;;;;80706;Монокран;0;0
5380;4673641;;;;0;Сексшоп;0;0
4512;4673644;;;;4673641;Вібратори;0;0
5661;4673647;;;;4673641;Фалоімітатори;0;0
5462;4673650;;;;4673641;Страпони;0;0
4423;4673653;;;;4673641;"Анальні пробки";0;0
4493;4673656;;;;4673641;"Вагінальні кульки";0;0
4495;4673659;;;;4673641;"Вакуумні помпи";0;0
4986;4673662;;;;4673641;Мастурбатори;0;0
5377;4673665;;;;4673641;Секс-ляльки;0;0
4994;4673668;;;;4673641;"Меблі для сексу";0;0
4459;4673671;;;;4673641;БДСМ-іграшки;0;0
5068;4673674;;;;4673641;"Насадки на статевий член";0;0
5045;4673677;;;;4673641;"Набори для сексу";0;0
4539;4673680;;;;4673641;"Збуджуючі засоби";0;0
5716;4673683;;;;4626609;"Чашки з принтом на замовлення";0;0
5141;4673686;;;;4640752;"ПВХ штори";0;0
5034;4673689;;;;2349087;"Чоловічі портупеї";0;0
4877;4673692;;;;2349087;"Комплекти чоловічої білизни";0;0
5677;4673701;;;;4627283;"Фільтри салону";0;0
5671;4673704;;;;4627283;"Фільтри АКПП";0;0
5178;4673707;;;;2577232;Пневмоінструмент;0;0
5738;4673710;;;;4673707;"Шланги високого тиску";0;0
5595;4673713;;;;4673707;"Пристрої підготовки та очищення повітря";0;0
4492;4673716;;;;4673707;"Швидкознімачі та фітинги";0;0
5047;4673719;;;;4673707;"Набори пневмоінструментів";0;0
5182;4673722;;;;4673707;"Пневмопістолети будівельні";0;0
4832;4673728;;;;4639600;Клей;0;0
4833;4673731;;;;4673728;"Клей побутовий";0;0
4835;4673734;;;;4673728;"Клей для шпалер";0;0
4806;4673740;;;;4626604;Картоплем'ялки;0;0
4884;4673743;;;;4627143;"Кондитерські килимки і підкладки";0;0
5401;4673746;;;;4627143;"Скалки для розкочування тіста";0;0
4886;4673749;;;;4627143;"Кондитерські шприци та мішки";0;0
5551;4673752;;;;4627143;Трафарети;0;0
5247;4673755;;;;4627143;"Приладдя для роботи з мастикою і марципаном";0;0
4887;4673758;;;;4627143;"Кондитерський інвентар";0;0
4885;4673761;;;;4627143;"Кондитерські ножі і різаки";0;0
5424;4673764;;;;4628425;Солярії;0;0
5134;4673767;;;;2659527;"Пасти і очисники для рук";0;0
5535;4673770;;;;4630454;"Гальмівна система";0;0
5537;4673773;;;;4673770;"Гальмівні барабани";0;0
5557;4673776;;;;4673770;"Троси ручника";0;0
5541;4673779;;;;4673770;"Гальмівні циліндри";0;0
5318;4673782;;;;4673770;"Ремкомплекти гальмівної системи";0;0
4458;4673785;;;;4673770;"Бачки гальмівної рідини";0;0
4611;4673788;;;;4673770;"Датчики зносу гальмівних колодок";0;0
5539;4673791;;;;4673770;"Гальмівні супорти";0;0
5584;4673797;;;;4626569;"Урологічні прокладки";0;0
5530;4673803;;;;4672923;"Паливні насоси";0;0
5313;4673806;;;;4672923;"Рейки паливні, паливопроводи та їх частини";0;0
4801;4673809;;;;4672923;"Карбюратори, запчастини для карбюратора";0;0
5088;4673812;;;;4630220;"Носові хустки";0;0
5262;4673827;;;;4630454;"Прокладки та сальники";0;0
5261;4673836;;;;4673827;"Прокладки автомобільні";0;0
4355;4673839;;;;4630454;"Автомобільні кріплення";0;0
5394;4673845;;;;4630454;"Система охолодження двигуна";0;0
5305;4673848;;;;4673845;"Розширювальні бачки";0;0
4506;4673851;;;;4673845;"Вентилятори, крильчатки та електромотори охолодження двигуна";0;0
5138;4673854;;;;4673845;"Патрубки системи охолодження";0;0
5511;4673857;;;;4673845;"Термостати та корпуси термостатів";0;0
4518;4673860;;;;4673845;"Віскомуфти системи охолодження";0;0
5287;4673863;;;;4673845;"Радіатори охолодження двигуна";0;0
5192;4673866;;;;368610;"Подарунки на Новий рік";0;0
5466;4673869;;;;4648572;"Ступиці та підшипники ступиць";0;0
5112;4673872;;;;4648572;"Опори і підшипники опори амортизаторів";0;0
5283;4673875;;;;4648572;"Пильовики та відбійники амортизаторів";0;0
4551;4673878;;;;4648572;"Втулки стабілізатора";0;0
5316;4673881;;;;4644128;"Реле автомобільні";0;0
